first_name,last_name,email,phone,employee_code,job_title,hire_date,salary,currency,country_code,department_code,active
Luciano,Herzog,luciano.herzog.43@example.com,132-771-5058,EMP-10043,HR Specialist,2025-01-08,44077,USD,US,LEG,true
Sheilah,Kemmer,sheilah.kemmer.44@example.com,(232) 732-5386,EMP-10044,System Administrator,2018-11-22,54712,CAD,CA,MKT,true
Michaele,Considine,michaele.considine.45@example.com,940 413 8295,EMP-10045,Data Analyst,2023-05-27,175974,JPY,JP,LEG,true
Lynwood,Kiehn,lynwood.kiehn.46@example.com,387.588.6217,EMP-10046,HR Specialist,2020-01-15,192800,GBP,UK,FIN,true
Bernadette,Mitchell,bernadette.mitchell.47@example.com,644.264.9090,EMP-10047,DevOps Engineer,2019-03-19,43535,INR,IN,MKT,true
Rosendo,Kub,rosendo.kub.48@example.com,127.661.5558,EMP-10048,DevOps Engineer,2019-02-24,132101,EUR,DE,SAL,true
Cinthia,Brakus,cinthia.brakus.49@example.com,(595) 790-3725,EMP-10049,Software Engineer,2017-12-07,60673,USD,US,MKT,true
Lily,King,lily.king.50@example.com,226-107-4025,EMP-10050,Sales Representative,2023-09-30,139368,EUR,DE,ENG,true
Rachal,Connelly,rachal.connelly.51@example.com,193.293.9327,EMP-10051,Senior Developer,2022-12-27,96363,USD,US,OPS,true
Susanne,Cruickshank,susanne.cruickshank.52@example.com,647-971-7595,EMP-10052,DevOps Engineer,2019-02-26,52452,EUR,FR,FIN,true
Elly,Collins,elly.collins.53@example.com,(549) 985-3013,EMP-10053,Marketing Coordinator,2021-07-25,129176,EUR,FR,ENG,true
Raymond,Cruickshank,raymond.cruickshank.54@example.com,605-468-6150,EMP-10054,Data Analyst,2025-07-23,48151,INR,IN,OPS,true
Alessandra,Schaden,alessandra.schaden.55@example.com,742 042 4993,EMP-10055,Senior Developer,2022-10-31,179202,USD,US,OPS,true
Jon,Lesch,jon.lesch.56@example.com,958 306 7123,EMP-10056,Data Analyst,2018-02-21,149900,EUR,FR,OPS,true
Kortney,Metz,kortney.metz.57@example.com,894.220.3130,EMP-10057,Software Engineer,2025-05-14,103767,EUR,FR,ENG,true
Tonie,O'Reilly,tonie.o'reilly.58@example.com,160.168.5307,EMP-10058,Data Analyst,2020-09-28,123097,USD,US,OPS,true
Ahmed,Fritsch,ahmed.fritsch.59@example.com,(167) 969-2924,EMP-10059,Marketing Coordinator,2018-03-20,127093,GBP,UK,SAL,true
Renda,Leffler,renda.leffler.60@example.com,128-600-5030,EMP-10060,Marketing Coordinator,2022-08-08,126558,CAD,CA,SAL,true
Patricia,Cartwright,patricia.cartwright.61@example.com,727-334-3539,EMP-10061,Legal Counsel,2017-05-01,134923,GBP,UK,LEG,true
Lurline,Hartmann,lurline.hartmann.62@example.com,873.252.1499,EMP-10062,Software Engineer,2025-05-05,118941,EUR,DE,IT,true
Isaias,Harris,isaias.harris.63@example.com,(675) 277-8966,EMP-10063,Marketing Coordinator,2023-06-23,50193,USD,US,SAL,true
Barry,Nicolas,barry.nicolas.64@example.com,428-101-7746,EMP-10064,DevOps Engineer,2023-03-08,86606,GBP,UK,ENG,true
Camille,Erdman,camille.erdman.65@example.com,966.136.5723,EMP-10065,Software Engineer,2023-09-06,82276,USD,US,SAL,true
Sharyl,Baumbach,sharyl.baumbach.66@example.com,155 484 9816,EMP-10066,Senior Developer,2018-01-31,118058,AUD,AU,LEG,true
Galen,Huels,galen.huels.67@example.com,113 255 2087,EMP-10067,Product Manager,2017-02-23,163941,AUD,AU,SAL,true
Valarie,Hayes,valarie.hayes.68@example.com,504.676.9839,EMP-10068,Software Engineer,2024-08-02,176423,JPY,JP,MKT,true
Hunter,Barton,hunter.barton.69@example.com,(874) 748-3753,EMP-10069,Product Manager,2022-07-18,71528,CAD,CA,SAL,true
Danuta,Langosh,danuta.langosh.70@example.com,933 224 7513,EMP-10070,Sales Representative,2018-09-09,135558,INR,IN,MKT,true
Palmer,Haag,palmer.haag.71@example.com,862 199 2235,EMP-10071,System Administrator,2019-04-23,106197,EUR,DE,FIN,true
Ami,Wiegand,ami.wiegand.72@example.com,661.355.8085,EMP-10072,HR Specialist,2021-01-09,44529,INR,IN,IT,true
Vera,Boyer,vera.boyer.73@example.com,147-309-2663,EMP-10073,System Administrator,2021-04-22,140349,INR,IN,HR,true
Mickie,Rath,mickie.rath.74@example.com,572 585 0903,EMP-10074,Legal Counsel,2019-12-30,85547,JPY,JP,LEG,true
Carson,Stehr,carson.stehr.75@example.com,(688) 678-3440,EMP-10075,DevOps Engineer,2016-12-10,67331,CAD,CA,HR,true
Stacy,Kautzer,stacy.kautzer.76@example.com,588-843-6003,EMP-10076,Software Engineer,2017-08-19,52925,CAD,CA,IT,true
Mafalda,Bogan,mafalda.bogan.77@example.com,920 200 0213,EMP-10077,DevOps Engineer,2021-05-12,162885,USD,US,MKT,true
Abram,Bosco,abram.bosco.78@example.com,506.186.0859,EMP-10078,Sales Representative,2019-11-29,67806,EUR,FR,LEG,true
Devorah,Kertzmann,devorah.kertzmann.79@example.com,622 134 2695,EMP-10079,Legal Counsel,2022-12-11,77983,JPY,JP,OPS,true
Gilda,Kiehn,gilda.kiehn.80@example.com,796.928.9591,EMP-10080,Data Analyst,2025-04-19,133077,USD,US,HR,true
Harvey,Schinner,harvey.schinner.81@example.com,770.683.0312,EMP-10081,Sales Representative,2023-07-08,85892,INR,IN,OPS,true
Willia,O'Conner,willia.o'conner.82@example.com,437.416.2740,EMP-10082,Data Analyst,2025-01-28,74258,GBP,UK,OPS,true
Marcus,Muller,marcus.muller.83@example.com,309.083.5920,EMP-10083,Senior Developer,2023-09-27,123887,EUR,DE,FIN,true
Reba,Kihn,reba.kihn.84@example.com,145-953-5235,EMP-10084,Data Analyst,2025-12-21,177058,CAD,CA,ENG,true
Myrtle,Aufderhar,myrtle.aufderhar.85@example.com,991-102-5642,EMP-10085,Sales Representative,2018-09-29,124456,JPY,JP,FIN,true
Willia,Rippin,willia.rippin.86@example.com,124 452 3280,EMP-10086,Product Manager,2017-09-18,47107,AUD,AU,LEG,true
Lenna,Block,lenna.block.87@example.com,150 557 5412,EMP-10087,Software Engineer,2022-06-18,175332,AUD,AU,FIN,true
Damian,Marquardt,damian.marquardt.88@example.com,274.538.1863,EMP-10088,Data Analyst,2022-06-28,65757,GBP,UK,IT,true
Ted,Zboncak,ted.zboncak.89@example.com,753-367-7917,EMP-10089,HR Specialist,2018-06-07,192501,USD,US,ENG,true
Joseph,Brekke,joseph.brekke.90@example.com,743 050 9508,EMP-10090,HR Specialist,2025-10-02,185581,EUR,FR,LEG,true
Rolland,Luettgen,rolland.luettgen.91@example.com,(778) 557-6997,EMP-10091,Sales Representative,2021-02-25,56749,EUR,FR,MKT,true
Lorie,Swaniawski,lorie.swaniawski.92@example.com,454 077 3544,EMP-10092,Marketing Coordinator,2022-04-05,49403,USD,US,MKT,true
Ted,Wehner,ted.wehner.93@example.com,843-761-2140,EMP-10093,Data Analyst,2021-08-17,54126,GBP,UK,SAL,true
Mee,Schuppe,mee.schuppe.94@example.com,(776) 434-4373,EMP-10094,Sales Representative,2020-01-08,90647,GBP,UK,FIN,true
Chase,Torphy,chase.torphy.95@example.com,275-320-4271,EMP-10095,Sales Representative,2016-10-24,174338,USD,US,SAL,true
Dale,Quigley,dale.quigley.96@example.com,634-090-9898,EMP-10096,Product Manager,2021-04-11,77080,USD,US,HR,true
Max,Turcotte,max.turcotte.97@example.com,408 151 5538,EMP-10097,Data Analyst,2021-02-09,184507,EUR,DE,MKT,true
Jimmie,Hintz,jimmie.hintz.98@example.com,431.661.5465,EMP-10098,System Administrator,2018-04-12,103215,USD,US,FIN,true
Lawrence,McDermott,lawrence.mcdermott.99@example.com,122-297-1472,EMP-10099,HR Specialist,2021-02-06,192172,AUD,AU,FIN,true
Newton,Rempel,newton.rempel.100@example.com,212 894 5436,EMP-10100,Sales Representative,2016-06-10,85420,EUR,FR,OPS,true
Dwain,Friesen,dwain.friesen.101@example.com,193 624 3990,EMP-10101,Sales Representative,2020-05-05,82057,GBP,UK,LEG,true
Avis,Connelly,avis.connelly.102@example.com,371-489-1255,EMP-10102,Product Manager,2017-08-21,109775,CAD,CA,OPS,true
Dottie,Smitham,dottie.smitham.103@example.com,461-740-5832,EMP-10103,Legal Counsel,2020-08-26,109666,GBP,UK,OPS,true
Jonelle,Reichert,jonelle.reichert.104@example.com,532.322.5430,EMP-10104,Software Engineer,2021-06-23,73569,USD,US,OPS,true
Jackson,Gorczany,jackson.gorczany.105@example.com,839-587-1658,EMP-10105,Sales Representative,2023-02-18,76662,AUD,AU,ENG,true
Harlan,Collins,harlan.collins.106@example.com,980-312-0880,EMP-10106,Legal Counsel,2017-02-05,126842,CAD,CA,ENG,true
Jeana,Huel,jeana.huel.107@example.com,219 593 7473,EMP-10107,Sales Representative,2023-12-30,118643,JPY,JP,IT,true
Julian,Cummerata,julian.cummerata.108@example.com,562-352-7013,EMP-10108,System Administrator,2019-07-06,123757,GBP,UK,HR,true
Elvis,Kovacek,elvis.kovacek.109@example.com,106 621 1675,EMP-10109,Marketing Coordinator,2018-03-25,160940,EUR,DE,OPS,true
Piper,Thompson,piper.thompson.110@example.com,195-196-2492,EMP-10110,DevOps Engineer,2017-12-16,173002,CAD,CA,ENG,true
Jon,Crist,jon.crist.111@example.com,143 729 9504,EMP-10111,Marketing Coordinator,2019-09-03,139905,GBP,UK,MKT,true
Ashely,Collins,ashely.collins.112@example.com,(577) 650-3996,EMP-10112,Sales Representative,2020-01-15,124655,USD,US,OPS,true
Frederic,Rippin,frederic.rippin.113@example.com,357-001-9664,EMP-10113,Senior Developer,2019-05-19,125361,INR,IN,IT,true
Gilda,Johnson,gilda.johnson.114@example.com,515.690.7852,EMP-10114,System Administrator,2025-12-18,138485,AUD,AU,SAL,true
Jarod,Hand,jarod.hand.115@example.com,653 481 9207,EMP-10115,Sales Representative,2022-02-22,41177,EUR,DE,OPS,true
Joel,Mann,joel.mann.116@example.com,244.183.3917,EMP-10116,Marketing Coordinator,2025-09-26,107872,AUD,AU,SAL,false
Sheridan,O'Hara,sheridan.o'hara.117@example.com,304 610 7456,EMP-10117,Data Analyst,2016-05-25,47946,AUD,AU,IT,true
Corey,Conroy,corey.conroy.118@example.com,(501) 505-7393,EMP-10118,Senior Developer,2019-12-05,179762,INR,IN,ENG,true
Gilberto,Herman,gilberto.herman.119@example.com,178 608 5114,EMP-10119,Data Analyst,2026-01-09,178382,JPY,JP,MKT,true
George,Christiansen,george.christiansen.120@example.com,267.781.8795,EMP-10120,System Administrator,2024-08-09,86051,JPY,JP,HR,true
Samatha,Senger,samatha.senger.121@example.com,748 654 2899,EMP-10121,Product Manager,2024-10-23,169370,EUR,FR,HR,true
Queen,King,queen.king.122@example.com,810.415.9872,EMP-10122,System Administrator,2019-01-22,152857,CAD,CA,MKT,true
Angelo,Heidenreich,angelo.heidenreich.123@example.com,381 239 0112,EMP-10123,System Administrator,2020-09-12,135336,CAD,CA,HR,true
Raelene,Bauch,raelene.bauch.124@example.com,989.974.7101,EMP-10124,Software Engineer,2019-04-02,113024,USD,US,LEG,true
Jose,Leannon,jose.leannon.125@example.com,402 442 4794,EMP-10125,Senior Developer,2021-01-21,159726,AUD,AU,ENG,true
Corine,Bashirian,corine.bashirian.126@example.com,776 382 0287,EMP-10126,DevOps Engineer,2020-06-17,196812,INR,IN,IT,true
Carmen,Breitenberg,carmen.breitenberg.127@example.com,298.657.4554,EMP-10127,Product Manager,2025-12-02,102743,CAD,CA,OPS,true
Elden,Bartell,elden.bartell.128@example.com,850-423-9979,EMP-10128,Sales Representative,2017-11-04,79759,GBP,UK,MKT,true
Salvador,Kilback,salvador.kilback.129@example.com,(906) 829-6930,EMP-10129,DevOps Engineer,2021-01-31,57827,INR,IN,HR,false
Margrett,Hammes,margrett.hammes.130@example.com,777.604.1558,EMP-10130,Product Manager,2016-12-18,199507,EUR,FR,ENG,true
Stacey,Orn,stacey.orn.131@example.com,(113) 333-7960,EMP-10131,Senior Developer,2017-01-11,60284,EUR,DE,MKT,true
Monika,Leannon,monika.leannon.132@example.com,772-360-7057,EMP-10132,System Administrator,2024-07-26,125787,AUD,AU,OPS,true
Jonnie,Kutch,jonnie.kutch.133@example.com,(132) 954-6112,EMP-10133,System Administrator,2025-04-11,96469,EUR,DE,MKT,false
Gerald,Veum,gerald.veum.134@example.com,280-429-6813,EMP-10134,Product Manager,2026-02-21,97986,USD,US,IT,true
Hilton,Langworth,hilton.langworth.135@example.com,118.930.0436,EMP-10135,Senior Developer,2022-01-15,104722,JPY,JP,IT,true
Lillian,Zboncak,lillian.zboncak.136@example.com,934-846-3617,EMP-10136,Data Analyst,2022-01-06,128504,EUR,DE,HR,true
Isaiah,Wyman,isaiah.wyman.137@example.com,(419) 844-6971,EMP-10137,Data Analyst,2019-03-26,54043,CAD,CA,HR,true
Rhiannon,Rowe,rhiannon.rowe.138@example.com,(223) 168-6429,EMP-10138,Senior Developer,2022-11-07,72112,EUR,DE,SAL,true
Marry,Willms,marry.willms.139@example.com,665.958.1323,EMP-10139,Marketing Coordinator,2024-11-24,152825,EUR,FR,MKT,true
Wes,Swaniawski,wes.swaniawski.140@example.com,414 733 2744,EMP-10140,Marketing Coordinator,2017-11-18,120257,JPY,JP,ENG,true
Cherise,Kilback,cherise.kilback.141@example.com,809-747-0905,EMP-10141,Product Manager,2024-10-29,50410,USD,US,HR,true
Nicolette,Brakus,nicolette.brakus.142@example.com,692 575 5399,EMP-10142,Legal Counsel,2023-03-26,197826,GBP,UK,IT,true
Berry,Hoppe,berry.hoppe.143@example.com,751.389.9251,EMP-10143,DevOps Engineer,2023-10-11,111506,EUR,FR,OPS,true
Elenor,Bernhard,elenor.bernhard.144@example.com,(976) 769-3889,EMP-10144,HR Specialist,2016-10-15,42075,EUR,DE,LEG,true
Eugenio,Crooks,eugenio.crooks.145@example.com,247.933.2972,EMP-10145,Data Analyst,2016-06-07,50603,CAD,CA,ENG,true
Janet,Schmeler,janet.schmeler.146@example.com,630-074-5256,EMP-10146,Software Engineer,2024-10-23,140097,USD,US,SAL,true
Willa,Mayert,willa.mayert.147@example.com,765.550.4393,EMP-10147,HR Specialist,2020-07-31,71325,USD,US,OPS,true
Deloras,Parker,deloras.parker.148@example.com,843-399-5930,EMP-10148,Legal Counsel,2017-05-26,84470,USD,US,OPS,true
Alexa,Muller,alexa.muller.149@example.com,(728) 200-7113,EMP-10149,Sales Representative,2025-02-12,164082,GBP,UK,ENG,true
Ollie,West,ollie.west.150@example.com,(733) 811-8451,EMP-10150,Data Analyst,2024-09-08,168946,CAD,CA,FIN,true
Timothy,Kiehn,timothy.kiehn.151@example.com,661 954 4629,EMP-10151,Product Manager,2019-05-23,120773,CAD,CA,OPS,true
Alethia,Sanford,alethia.sanford.152@example.com,(791) 236-6873,EMP-10152,Senior Developer,2025-09-01,100850,GBP,UK,ENG,true
William,Kerluke,william.kerluke.153@example.com,141-178-1573,EMP-10153,Legal Counsel,2018-06-20,121060,JPY,JP,SAL,true
Theresa,Moore,theresa.moore.154@example.com,359 598 3609,EMP-10154,Sales Representative,2019-05-25,51703,INR,IN,LEG,true
Jani,Denesik,jani.denesik.155@example.com,112-200-7003,EMP-10155,Marketing Coordinator,2019-07-10,40471,JPY,JP,FIN,true
Tama,Spencer,tama.spencer.156@example.com,390 713 0334,EMP-10156,Legal Counsel,2016-11-08,170539,INR,IN,HR,true
Vernice,Moen,vernice.moen.157@example.com,910 136 5320,EMP-10157,Software Engineer,2017-01-10,96154,CAD,CA,HR,true
Teresita,Nader,teresita.nader.158@example.com,(506) 874-0186,EMP-10158,DevOps Engineer,2024-04-22,115785,CAD,CA,OPS,true
Dexter,Blanda,dexter.blanda.159@example.com,249 595 7463,EMP-10159,Legal Counsel,2019-08-22,152563,EUR,DE,FIN,true
Christie,Conn,christie.conn.160@example.com,255-355-2535,EMP-10160,Software Engineer,2019-11-17,58212,EUR,DE,OPS,true
Nathaniel,Mann,nathaniel.mann.161@example.com,(255) 640-2274,EMP-10161,DevOps Engineer,2021-05-23,183575,JPY,JP,OPS,true
Carl,Zulauf,carl.zulauf.162@example.com,527.595.5049,EMP-10162,Product Manager,2017-11-21,83789,EUR,FR,MKT,true
Patrick,Daugherty,patrick.daugherty.163@example.com,(654) 751-8994,EMP-10163,Senior Developer,2016-05-07,194832,AUD,AU,IT,true
Norris,Mueller,norris.mueller.164@example.com,709 324 4331,EMP-10164,Data Analyst,2020-05-10,92014,EUR,FR,IT,true
Anjelica,Bruen,anjelica.bruen.165@example.com,734 008 0671,EMP-10165,Senior Developer,2019-04-16,171623,EUR,DE,LEG,true
Dorathy,Koss,dorathy.koss.166@example.com,989.211.5205,EMP-10166,Software Engineer,2020-02-04,112638,CAD,CA,IT,true
Nicola,Daugherty,nicola.daugherty.167@example.com,653 133 9993,EMP-10167,Data Analyst,2020-10-09,108383,JPY,JP,IT,true
Matt,Satterfield,matt.satterfield.168@example.com,(226) 764-5840,EMP-10168,Data Analyst,2021-01-09,164980,EUR,FR,LEG,true
Jose,Kuhn,jose.kuhn.169@example.com,(162) 596-1786,EMP-10169,Marketing Coordinator,2022-12-19,110117,EUR,DE,IT,true
Hector,Wolff,hector.wolff.170@example.com,282 944 0760,EMP-10170,Software Engineer,2018-09-22,113505,EUR,DE,LEG,true
Dorsey,Wiegand,dorsey.wiegand.171@example.com,256 634 5895,EMP-10171,System Administrator,2021-03-03,74534,EUR,DE,HR,true
Miles,Bednar,miles.bednar.172@example.com,774 790 5764,EMP-10172,Software Engineer,2025-09-20,187217,USD,US,IT,true
Douglass,Brown,douglass.brown.173@example.com,475.554.3634,EMP-10173,Legal Counsel,2024-10-26,97637,INR,IN,LEG,true
Dominick,Fritsch,dominick.fritsch.174@example.com,362.827.7508,EMP-10174,Sales Representative,2019-10-07,164622,CAD,CA,SAL,true
Daniell,Deckow,daniell.deckow.175@example.com,909 465 8450,EMP-10175,System Administrator,2023-07-17,95516,EUR,DE,HR,true
Joelle,Windler,joelle.windler.176@example.com,(812) 740-2664,EMP-10176,DevOps Engineer,2025-04-04,51300,EUR,DE,MKT,true
Allan,Reilly,allan.reilly.177@example.com,865.244.8305,EMP-10177,System Administrator,2017-02-06,174739,EUR,FR,HR,true
Owen,Koepp,owen.koepp.178@example.com,361 430 0749,EMP-10178,System Administrator,2026-03-23,80605,INR,IN,MKT,true
Darrel,Moen,darrel.moen.179@example.com,812.726.6270,EMP-10179,HR Specialist,2016-07-01,145415,GBP,UK,FIN,true
Lou,Ortiz,lou.ortiz.180@example.com,117 666 1579,EMP-10180,Sales Representative,2025-08-21,140367,AUD,AU,LEG,true
Vanita,Mertz,vanita.mertz.181@example.com,(536) 999-0545,EMP-10181,Senior Developer,2019-11-15,186366,EUR,FR,OPS,true
Leroy,Hand,leroy.hand.182@example.com,(913) 026-8947,EMP-10182,Software Engineer,2018-11-29,55552,USD,US,ENG,true
Berna,Kris,berna.kris.183@example.com,827.387.2516,EMP-10183,Marketing Coordinator,2019-03-12,101846,USD,US,ENG,true
Melina,Simonis,melina.simonis.184@example.com,634 451 5628,EMP-10184,Legal Counsel,2020-07-18,47890,INR,IN,MKT,true
Kena,Olson,kena.olson.185@example.com,902-180-6877,EMP-10185,Sales Representative,2024-10-30,180659,EUR,FR,ENG,true
Shan,Leffler,shan.leffler.186@example.com,880 908 6465,EMP-10186,System Administrator,2026-03-16,41210,JPY,JP,LEG,false
Aubrey,Nolan,aubrey.nolan.187@example.com,566 067 1066,EMP-10187,Software Engineer,2023-12-08,117751,INR,IN,LEG,true
Cristi,Streich,cristi.streich.188@example.com,813.789.9151,EMP-10188,Marketing Coordinator,2017-06-15,56332,EUR,FR,OPS,true
Maurine,Lind,maurine.lind.189@example.com,277 690 8968,EMP-10189,Legal Counsel,2019-05-09,56114,AUD,AU,LEG,true
Hugo,Hammes,hugo.hammes.190@example.com,189-090-5181,EMP-10190,Data Analyst,2017-08-13,166639,INR,IN,MKT,true
Carl,Brekke,carl.brekke.191@example.com,615.249.2649,EMP-10191,System Administrator,2026-03-18,67163,GBP,UK,LEG,true
Kirstin,Bogisich,kirstin.bogisich.192@example.com,242 960 0411,EMP-10192,System Administrator,2017-05-14,155054,INR,IN,OPS,true
Otis,Wisozk,otis.wisozk.193@example.com,(949) 701-7102,EMP-10193,Marketing Coordinator,2025-06-22,43021,AUD,AU,MKT,true
Hong,Fay,hong.fay.194@example.com,(459) 156-5849,EMP-10194,Data Analyst,2019-08-13,132096,CAD,CA,MKT,true
Melodee,Haag,melodee.haag.195@example.com,317.398.2100,EMP-10195,Legal Counsel,2018-01-31,64128,EUR,FR,LEG,true
Bill,Glover,bill.glover.196@example.com,648 211 7467,EMP-10196,Marketing Coordinator,2024-07-30,104289,EUR,DE,IT,true
Gigi,Howe,gigi.howe.197@example.com,794.387.0215,EMP-10197,Legal Counsel,2019-02-13,69431,AUD,AU,OPS,true
Bud,Mayer,bud.mayer.198@example.com,107.261.1036,EMP-10198,Marketing Coordinator,2019-07-26,66604,USD,US,SAL,true
Sang,Cormier,sang.cormier.199@example.com,(940) 720-3647,EMP-10199,Marketing Coordinator,2019-02-23,153928,EUR,DE,OPS,true
Frank,Heidenreich,frank.heidenreich.200@example.com,968.032.0252,EMP-10200,DevOps Engineer,2018-01-01,170158,GBP,UK,IT,true
Gerald,Mayert,gerald.mayert.201@example.com,873 754 2343,EMP-10201,HR Specialist,2025-04-23,59837,JPY,JP,LEG,true
Danyel,Leffler,danyel.leffler.202@example.com,(372) 280-6244,EMP-10202,HR Specialist,2019-10-27,141183,JPY,JP,HR,true
Keenan,McDermott,keenan.mcdermott.203@example.com,(915) 523-5761,EMP-10203,Marketing Coordinator,2018-08-30,48942,JPY,JP,LEG,true
